,tweet
4461, अ जीव पुतळे स जीव करणारे श्री राम सुतारजी हे महान शिल्पकार आहेत पुतळे तयार करताना ते हृदयापासून त्यात गुंतले असतात आज वयाच्या व्या वर्षी ते स्वतः पुतळे तयार करीत आहेत हे खरोखरच वाखाणण्यासारखे आहे 
4462, शिक्षणाची मुहूर्तमेढ रोवून स्त्री सक्षमीकरणाचा भक्कम पाया क्रांतिज्योती सावित्रीबाई फुले यांनी रचला 
4463, राज्यातील अशा अनेक महत्त्वाच्या प्रश्नांबाबत तुमचा माझा परिचय सर्वसामान्यांशी व्हायला हवा जनतेने आपल्याला निवडून दिले त्यांचे काम आता संपले आता आपण आपली भूमिका बजावण्याची वेळ आली आहे आपल्याला समर्थपणे ती बजावायची आहे 
4464, जिल्ह्यातील सहकारी कारखान्याचे खासगीकरण होताना दिसत आहे मात्र चे निवडून आल्यास या कारखान्यांना कुठल्याही प्रकारचा धक्का लागणार नाही तटकरेंनी विधिमंडळात आपले कर्तृत्व दाखवले आहे असा नेता लोकसभेत गेला तर राज्याचे प्रश्न सोडवल्याशिवाय शांत बसणार नाही 
4465, भारताच्या स्वातंत्र्यासाठी सामाजिक सुधारणांसाठी सर्वांगिण विकासासाठी एकात्मता व अखंडतेसाठी प्रदीर्घ लढा देणाऱ्या आणि आता लोकशाही व संविधानाच्या रक्षणासाठी प्राणपणाने संघर्ष करणाऱ्या काँग्रेस पक्षाच्या स्थापना दिनानिमित्त हार्दिक शुभेच्छा 
4466, विठ्ठल माऊली आणि रखुमाईच्या चरणी सर्वांना सुख शांती समृद्धी आरोग्य आणि आनंद लाभो ही प्रार्थना माऊली माऊली माऊली माऊली 
4467, असंख्य ज्ञात अज्ञात स्वातंत्र्यसैनिकांच्या त्यागातून मिळालेलं स्वातंत्र्य अबाधित ठेवण्यासाठी सर्वांनी प्रतिज्ञाबद्ध होऊया कोरोनाचं संकट आजवरचं सर्वात मोठं संकट असून पुढचे काही महिने प्रतिबंधक नियमांचे पालन करून आपण सर्वांनी कोरोनामुक्तीचा लढा एकजुटीनं लढूया कोरोनाला हरवूया 
4468, सर्वांना माघी गणेशोत्सवा च्या मंगलमय शुभेच्छा बाप्पा आपणा सर्वांच्या इच्छा आकांक्षा पूर्ण करो आणि घरोघरी सुख समृद्धी यश नांदो अशी मनस्वी प्रार्थना करतो 
4469, जगातील देशांमध्ये इथून लशींचा पुरवठा केला जातो यात पोलिओ फ्ल्यू रूबेला अशा आजारांवरील लशींचा समावेश आहे वर्षाखेरीस कोरोनावरील लस जगासाठी उपलब्ध करून देण्यासाठी प्रयत्नशील आहे 
4470, राष्ट्रवादी काँग्रेसचे अध्यक्ष साहेबांसोबत अन्य नेत्यांच्या उपस्थितीत महत्वपूर्ण बैठक पार पडली या सरकारला सत्तेवरून पायउतार करण्यासाठी समविचारी पक्षांना एकत्र घेऊन महाराष्ट्रातल्या आगामी लोकसभा निवडणुकांत सर्वच जागांवर एकवाक्यतेनं लढण्याचा निर्धार आहे 
4471, रमाकांत आचरेकर सरांकडून प्रेरणा घेऊन त्यांनी ज्या दर्जाचे खेळाडू तयार व्हावेत यासाठी आयुष्यभर कार्य केलं ती लीगसी त्यांच्या सहकार्यांनी त्यांच्या शिष्यांनी पुढे न्यायला हवी हीच त्यांच्याबद्दल खरी कृतज्ञता व त्यांना योग्य श्रद्धांजली राहील 
4472, भारतीय संविधानाचेच नव्हे तर देशाच्या सामाजिक बांधणीचे शिल्पकार भारतरत्न डॉ बाबासाहेब आंबेडकर यांना महापरिनिर्वाणदिनी विनम्र अभिवादन 
4473, भारताचे माजी पंतप्रधान स्व राजीव गांधीजी यांना स्मृतिदिनी भावपूर्ण आदरांजली 
4474, दिवाळीनंतर पक्षाच्या वतीने सर्व उमेदवारांची बैठक घेण्यात येईल निवडणुकीनंतरची धोरणात्मक आखणी त्यानंतर केली जाईल जनमत पाहता अधिक जोमाने काम करून नवीन पिढीच्या हाती नेतृत्व देण्यासाठी व्यापक प्रमाणात प्रयत्न होण्याची गरज आहे दिवाळी झाल्यावर यासंबंधी वाटचाल करण्यात येईल 
4475, खताळ पाटील यांचे वेगळेपण म्हणजे सातत्याने निवडून येत असतानाही वयाच्या व्या वर्षी साली त्यांनी राजकारणातून निवृत्ती घेतली नवीन पिढीला संधी देण्याचे मोठेपण त्यांच्यात होते अनेक नेत्यांनी त्यांचा आदर्श घेतला पाहिजे भावपूर्ण श्रद्धांजली 
4476, राणे साली नगरसेवक झाले बेस्टचे अध्यक्ष झाले नंतर विधानसभेत आले मुख्यमंत्री झाले त्यांनी आपल्या कर्तृत्वाची छाप पाडली राणे यांचे अर्थसंकल्पावरील भाषण वाचून त्यांच्याप्रति असलेला आदर प्रचंड वाढला अर्थसंकल्पावर उद्धवराव पाटील व राणेच चांगले भाष्य करायचे 
4477, गणपती बाप्पा मोरऽऽया पुढच्या वर्षी लवकर या अनंत चतुर्दशी निमित्त सर्व गणेश भक्तांना मनःपूर्वक शुभेच्छा 
4478, मंत्रिमंडळनिर्णय नागपूर जिल्ह्यातील भानसोली येथील एकर शासकीय जमीन मुंबई येथील भारत पेट्रोलियम कॉर्पोरेशनला ट्रेनिंग इन्स्टिट्यूटसाठी विशेष बाब म्हणून वर्षाच्या भाडेपट्ट्याने देण्यास मान्यता 
4479, आई आज तुझा वाढदिवस सत्तेच्या वर्तुळात राहून देखील तु स्वतःचे वेगळे व्यक्तिमत्व जपलेस स्वतःचं व्यक्तिमत्त्व जोपासतानाच सामान्यत्व जपण्याचे संस्कार तु आमच्यावर केलेस आई तुला वाढदिवसाच्या शुभेच्छा तुला निरोगी असं दीर्घायुष्य लाभो हीच सदिच्छा 
4480, शिरूर लोकसभा मतदारसंघाचे खासदार चे नेते आमचे सहकारी मा डॉ अमोल कोल्हे यांना वाढदिवसाच्या मनःपूर्वक शुभेच्छा 
4481, संगीतकार म्हणून नाव कमावणाऱ्या काही मोजक्या स्त्रियांमध्ये उषा खन्ना सन्माननीय स्थानी आहेत सालच्या कृष्णधवल चित्रपटांपासून मधील नव्या सहस्रकाचे सिनेमे भजनं मालिकांना संगीत देणाऱ्या उषाजींचे गानसम्राज्ञी लता मंगेशकर पुरस्कार मिळाल्याबद्दल हार्दिक अभिनंदन 
4482, ज्ञानयोद्धा माजी मंत्री श्रीकांत जिचकार यांना पुण्यतिथी निमित्त विनम्र अभिवादन 
4483, सध्या एका जागतिक महामारीशी आपण लढत असताना पर्यावरण आणि वसुंधरेच्या संवर्धनासाठी वैश्विक प्रयत्नांचे महत्त्व प्रकर्षाने अधोरेखित होत आहे जागतिक वसुंधरा दिनानिमित्ताने सर्वांनी सजग दृष्टिकोन ठेवून पर्यावरणाचा समतोल राखण्याचा व वसुंधरेच्या रक्षणाचा संकल्प करुया 
4484, महाराष्ट्राच्या विकासाची हि नवी दिशा आहे उद्धवजी ठाकरे यांनी मुख्यमंत्रीपदाची शपथ घेतली याबद्दल त्यांचे मनःपूर्वक अभिनंदन 
4485, वाढदिवसाच्या हार्दिक शुभेच्छा 
4486, पुणे जिल्ह्यात लाख हजार हेक्टर क्षेत्राचं खरीप हंगामासाठी नियोजन करण्यात आलंय यात भात बाजरी मका नाचणी सोयाबीन क्षेत्राचा समावेश आहे यासाठी हजार क्विंटल बियाणांची गरज आहे शेतकऱ्यांच्या मागणीनुसार थेट बांधावर खते कृषी निविष्ठा उपलब्ध करून द्या यात हयगय करू नये 
4487, राज्याचे सन्माननीय गृहमंत्री जी यांना वाढदिवसाच्या हार्दिक शुभेच्छा 
4488, दीपावली पाडव्याच्या मन पूर्वक शुभेच्छा 
4489, लोकशाहीत प्रत्येकाला आपले मत मांडण्याचा अधिकार आहे अभिनेत्री कंगना राणावतला तिचे मत मांडण्याचा आणि मुंबईत राहण्याचाही अधिकार आहे सत्तेत असणाऱ्या शिवसेनेने धमकी देणे योग्य नाही कंगना राणावत ला आरपीआय संरक्षण देईल 
4490, शांतता आणि समानतेची शिकवण देणारे तथागत भगवान गौतम बुद्ध यांना जयंतीदिनी विनम्र अभिवादन सर्वांना बुद्धपौर्णिमेनिमित्त हार्दिक शुभेच्छा 
4491, प्रधानमंत्री श्रमजिवी मानधन योजनेत सर्वाधिक लाभार्थी महाराष्ट्रात 
4492, मोठ्या जनावरांसाठीच्या चारा छावण्यांच्या धर्तीवर शेळ्या मेंढ्यांकरीता स्वतंत्र व्यवस्था करण्याबाबतच्या धनगर समाजातील प्रतिनिधींनी केलेल्या मागणीकडेही मुख्यमंत्र्यांचे लक्ष वेधले आहे शेळी मेंढी पालन करणारांच्या दृष्टीने हा मोठा दिलासा ठरेल 
4493, आज एवढ्या मोठ्या प्रमाणात महिला या मेळाव्यास उपस्थित आहेत याचा अर्थ या भागात बचतगटाची चळवळ वाढवण्याची गरज आहे कमी व्याजदरात महिलांना उद्योगांसाठी कर्ज उपलब्ध करून देऊन त्यांच्यामार्फत संसाराला हातभार लावण्याच्या दृष्टीने प्रयत्न व्हायला हवेत त्याबाबत निश्चितपणे पावले उचलली जातील 
4494, बकरी ईदचा सण आपल्याला निस्वार्थ कुर्बानी क्षमा या मार्गावर वाटचाल करण्याची आठवण करुन देतो ईदचे हे पर्व आपल्या सर्वांच्या आयुष्यात शांतता सहिष्णुता आणि समृद्धी घेवून येवो ही सदिच्छा मेरे सभी भाई बहनोंको तहे दिल से ईद मुबारक 
4495, त्यांनी त्यासाठी जाणीवपूर्वक जलसंधारणाचा मोठा कार्यक्रम हाती घेतला जलसंवर्धन नावाचं स्वतंत्र खातं निर्माण करून स्वतंत्र मंत्री नियुक्त करून धाडसी कार्यक्रम सुधाकररावांनी प्रभावीपणे राबवलाही जलक्रांतीचे स्वप्न पाहणारे झुंजार मुख्यमंत्री दिवंगत सुधाकरराव नाईक यांना विनम्र अभिवादन 
4496, शिवशाही बसमध्ये दिव्यांगांना भाड्यात सवलत मिळावी यासाठी मी राज्याचे परिवहन मंत्री यांच्याकडे मागणी केली होती ती पूर्ण झाली दिव्यांग व्यक्तीस प्रवास भाड्यात तर सोबत प्रवास करणाऱ्यास सवलत मिळणार आहे दिव्यांगांना समाजाच्या मुख्य प्रवाहात आणण्यासाठी छोटेसे योगदान 
4497, नांदी पर्यटन विकासाची निर्मिती रोजगाराची 
4498, कारगिल विजय दिवस मातृभूमीच्या रक्षणासाठी आपले प्राण अर्पण करणाऱ्या शहीद जवानांना माझा प्रणाम व्यर्थ न हो बलिदान कारगिल विजय दिवस 
4499, हा नकारात्मक शक्तींचा पराभव आहे हा वर्षानुवर्षे भ्रष्टाचाराची साथ देणाऱ्यांचा पराभव आहे हा देशातील जनतेची फसवणूक करणाऱ्यांचा पराभव आहे भ्रामक प्रचाराचा हा पराभव आहे आणि हा असत्य अन्यायाचा पराभव आहे हा पराभूतांचा पराभव आहे 
4500, भारतीय सैन्याने सुखोई हे अत्यंत वेगवान विमान घेतले होते आवाज पोहोचायला लागणाऱ्या वेळेपेक्षा कमी वेळ हे विमान घेते या वेगवान विमानात प्रतिभाताई एअरफोर्सच्या गणवेशात दिसल्या आणि त्यांनी सुखोई विमानाची चक्करही मारली आपल्या देशाच्या भगिनीची ही कामगिरी फार अभिमानास्पद वाटली 
4501, भारतीय जनता पक्षावर पुनःश्च विश्वास ठेवल्याबद्दल महाराष्ट्रातील जनतेचे मनापासुन आभार 
4502, ताई आणि मी एकत्रित केलेल्या पाठपुराव्यामुळे केंद्र सरकारने परवानगी दिली त्याचबरोबर मुख्यमंत्री साहेब उपमुख्यमंत्री दादांच्याकडे सातत्याने पत्रव्यवहार केला होता राज्य सरकारने अखेरीस आज मार्गदर्शक सूचना जारी करत परवानगी दिली 
4503, औरंगाबाद विमानतळावर औरंगाबाद युवक काॅंग्रेसच्या पदाधिकाऱ्यांनी स्वागत केले व त्यानंतर देऊळगाव राजा जि बुलढाणा येथे आ राहुलभाऊ बोंद्रे यांनी मनोज कायंदे यांच्या निवासस्थानी स्वागत केले बुलढाणा दौरा 
4504, भारताचे माजी राष्ट्रपती भारतरत्न डॉ ए पी जे अब्दुल कलाम यांना स्मृतिदिनी विनम्र अभिवादन 
4505, महाराष्ट्राची यशो गाथा महाराष्ट्राची शौर्य कथा पवित्र माती लावू कपाळी धरती मातेच्या चरणी माथा महाराष्ट्र दिनाच्या हार्दिक शुभेच्छा 
4506, अभिव्यक्ती स्वातंत्र्यावर चर्चा व्हायलाच हवी पण सहिष्णूता ही देशाच्या रक्तातच ती कुणीही घालवू शकत नाही आमच्या आचार विचारात सहिष्णूता आहे 
4507, गेल्या दोन वर्षांपासून कोल्हापूर शहरातील चौक व महापुरुषांच्या पुतळ्यांचा परिसर उद्याने सुशोभिकरणाचे काम कोल्हापूर शहर सौंदर्यकरण संस्थेमार्फत सुरु आहे यापैकी सुशोभिकरण पूर्ण झालेल्या आईसाहेबांचा पुतळा परिसर व माऊली चौकातील बाईंचा पुतळा परिसराचे लोकार्पण केले 
4508, राज्याच्या कृषी ग्रामीण अर्थव्यवस्थेला चालना देण्याचं काम महाराष्ट्राचे पहिले मुख्यमंत्री यशवंतराव चव्हाण यांनी केलं शेतकरी सामाजिक आणि आर्थिकदृष्ट्या सक्षम कसा होईल हे त्यांनी दाखवून दिलं यशवंतरावांची विचारधारा समाजातल्या शेवटच्या घटकापर्यंत पोहोचवणं हीच त्यांना खरी आदरांजली 
4509, दक्षिण अहमदनगर लोकसभा मतदारसंघाचे महाआघाडीचे उमेदवार संग्राम भैया जगताप यांच्या प्रचारार्थ पाथर्डी येथे सभेस मार्गदर्शन केले संपूर्ण राज्याचे लक्ष लागलेल्या या अहमदनगरच्या संग्रामात संग्राम बाजी मारतील हे निश्चित 
4510, कॅन्सर रोखण्यासाठी रासायनिक खतांवर बंदी आणून सेंद्रिय शेतीला प्राधान्य देण्यासाठी शेतकऱ्यांना प्रशिक्षण देण्याची गरज आहे कॅन्सर निर्मूलन परिषदेचे आज दादर मुंबई येथे उदघाटन केले विविध क्षेत्रातील मान्यवर यावेळी उपस्थित होते 
4511, श्रमलेल्या बापासाठी लेक नाराळाचं पाणी लढणाऱ्या लेकीसाठी बाप बुलंद कहाणी च्या लोकसभा गटनेत्या आमच्या नेत्या आणि मार्गदर्शिका संसद महारत्न आपणांस वाढदिवसाच्या हार्दिक शुभेच्छा 
4512, महिला भगिनींनी स्वकर्तृत्वावर पुढे यावे व खऱ्या अर्थाने सक्षम बनावे ही आमची भूमिका आहे संगमनेरातील सहकार क्षेत्रात महिलांचे योगदान मोठे आहे या अनुषंगाने राजहंस दूध संघाच्या वतीने महिला मेळावा आयोजित केला गेला महिला शक्तीचा गौरव करण्याची संधी या माध्यमातून आम्हाला मिळाली 
4513, लोकशाहीर अण्णाभाऊ साठे यांना विनम्र अभिवादन 
4514, विकासाचा सहकाराचा विचार राबवून महाराष्ट्राला नवी दिशा देणारे माजी मुख्यमंत्री वसंतदादा पाटील यांच्या जयंती प्रीत्यर्थ विधान भवन येथे त्यांच्या प्रतिमेस पुष्पहार अर्पण करून अभिवादन केले 
4515, ज्येष्ठ पत्रकार दिनू रणदिवे यांच्या निधनाने यांच्या निधनाने संयुक्त महाराष्ट्र्र चळवळीचा कृतिशील साक्षीदार आंबेडकरी चळवळीचा पाठीराखा हरपला आहे त्यांना भावपूर्ण श्रद्धांजली 
4516, घाबरून त्याचा सामना जग करू शकत नाही ही लढाई एकप्रकारची माणूसकीविरूद्धची लढाई समजूनच प्रत्येकाने त्याचा सामना करावयाचा आहे डॉक्टर कर्मचारी अधिकारी अहोरात्र काम करत आहेत यांच्या श्रमाला आपला सलाम असून हेच सर्व आपल्यासाठी आता देव आहे 
4517, सांगली शहरातील युवक कॉंग्रेस टीमचे अभिनंदन जनसेवा हीच ईश्वर सेवा 
4518, या भागातील अनेक माणसांच्यासोबत काम करण्याचे भाग्य मला मिळाले आहे त्यांचाच वारसा पुढे घेऊन जाण्याचे काम अतुल बेनके करतील ते सुविद्य इंजिनीअर आहेत त्यांच्याकडून या विभागाचा चेहरा बदलण्याचे काम नक्की होईल असा मला विश्वास आहे 
4519, राष्ट्रवादी काँग्रेस पक्षाचे आमदार यांचे विधानपरिषदेत बिनविरोध निवडून आल्याबद्दल हार्दिक अभिनंदन तसेच त्यांना पुढील वाटचालीसाठी मनःपूर्वक शुभेच्छा 
4520, अरबी समुद्रात छत्रपती शिवाजी महाराजांचे जगातील सर्वात उंच भव्य स्मारक पूर्वीपेक्षा अधिक पूर्वीपेक्षा उत्तम 
4521, राष्ट्रवादी काँग्रेस पार्टीच्या व्या वर्धापनदिनाच्या मनःपूर्वक शुभेच्छा 
4522, प्रिय आमुचा एक महाराष्ट्र देश हा महाराष्ट्र दिन आणि जागतिक कामगार दिनाच्या सर्वांना हार्दिक शुभेच्छा 
4523, राष्ट्रवादी काँग्रेस पक्षाच्या शिवस्वराज्य यात्रेच्या पाबळ येथील चौक सभेत लोकांनी उत्स्फर्त प्रतिसाद दिला माझ्या मायबाप रयतेची एक हाक आणि राष्ट्रवादीची प्रबळ साथ शिवस्वराज्य यात्रा 
4524, आज काढू नका बाहेर तुमची वरात बसा दिवसभर आज घरात जनता कर्फ्यु यशस्वी करा कोरोना से डरोना हात स्वच्छ धुत रहा गर्दीत फिरू नका गर्दी करू नका काळजी घ्या डॉक्टर आरोग्य सेवक सर्वांचे आभार मानुया वाजता टाळ्या वाजवून थाळी नाद करूया 
4525, पुरंदर तालुक्यातील कऱ्हा नदीवरील अतिवृष्टीमुळे वाहून गेलेले बंधारे दुरुस्त करण्याची मागणी नवल किशोर राम यांच्याकडे केली होती याची दखल घेत त्यांनी तातडीने दुरुस्तीचे आदेश दिले याबद्दल त्यांचे मनापासून आभार 
4526, जीवेत् शरद शतम् भारतीय जनता पक्षाचे वरिष्ठ नेते आणि आमचे मार्गदर्शक जी यांना वाढदिवसाच्या हार्दिक शुभेच्छा आपणांस उत्तम आरोग्य आणि दीर्घायु लाभो हिच करवीर निवासिनी आई आंबाबाई चरणी प्रार्थना 
4527, विधिमंडळात विरोधी पक्षनेता असताना फक्त सत्ताधाऱ्यांवर टीका करायची नसते तर लोकांचे प्रश्न मांडून त्यांची सोडवणूक करायची ही जबाबदारी असते विरोधी पक्षनेतापद हे एक हत्यार अाहे त्याचा वापर प्रभावीपणे करायचा असतो धनंजय मुंडे त्याचा योग्य पद्धतीने वापर करत आहेत 
4528, प्रजासत्ताक दिना च्या व्या वर्धापन दिनानिमित्त पुण्यामधल्या शिवाजीनगरच्या पोलीस संचलन मैदानात माझ्या हस्ते ध्वजारोहण समारंभाचा कार्यक्रम पार पडला सन्मानचिन्ह तिरंग्याला मानवंदना दिली तसेच राष्ट्रसेवेत प्रामाणिकपणे आणि धैर्यानं कर्तव्य बजावणाऱ्या पोलीस अधिकाऱ्यांचा गौरव केला 
4529, चला आपल्या वाघांच्या संरक्षणाची प्रतिज्ञा करू आणि त्यांचे नैसर्गिक अधिवास जपण्यास मदत करूया शिकार बेकायदेशीर व्यापार आणि अधिवासातील नुकसान हे धोक्यात आले आहे वाघांच्या संख्येची घसरण रोखण्यासाठी आपण प्राधान्याने जागरूक आणि कठोर पावले उचलण्याची गरज आहे 
4530, नविन वर्ष आपणांस सुखाचे समाधानाचे ऐश्वर्याचे आनंदाचे आरोग्याचे जावो नविन वर्षाच्या सर्वांना मनपूर्वक शुभेच्छा 
4531, आज विधानसभेत आमदारांनी महाविकासआघाडी सरकारच्या विश्वासदर्शक प्रस्तावाला अनुमोदन देत बहुमत सिद्ध केले आहे हे सक्षम सरकार महाराष्ट्राच्या सर्वांगीण विकासासाठी तत्पर असेल असा विश्वास वाटतो 
4532, दहावीच्या सर्व परीक्षार्थींना मनःपूर्वक शुभेच्छा यशस्वीभवः 
4533, भाऊबीजेच्या सर्वांना हार्दिक शुभेच्छा 
4534, पुण्याच्या विभागीय आयुक्त कार्यालयात पुणे ग्रामीण पोलीस विभागाच्या स्मार्ट पोलीसींग उपक्रमाचा शुभारंभ माझ्या हस्ते झाला पोलीस प्रशासन अधिक लोकाभिमुख बनवण्यासाठी पुणे ग्रामीण पोलीस विभागाचा स्मार्ट पोलीसींग उपक्रम उपयुक्त ठरेल असा मला विश्वास आहे 
4535, यश कीर्ती आणि उंच भरारी यांची पहिली पायरी म्हणजे परीक्षा दहावीच्या बोर्डाच्या परीक्षेला यावर्षी सामोरे जाणाऱ्या विद्यार्थ्यांना परीक्षेसाठी शुभेच्छा 
4536, भारतीय सैन्य दिनाच्या हार्दिक शुभेच्छा 
4537, शासनाच्या दुग्धविकास विभागाच्या वतीने मंत्रालयातील त्रिमूर्ती पटांगणात राज्यातील विविध ठिकाणचे सहकारी व खासगी डेअरीच्या पदार्थांच्या प्रदर्शनाचा शुभारंभ मा यांच्या हस्ते झाला या प्रदर्शनात कोल्हापुरातील प्रमुख अशा गोकूळ व वारणासहित इतर दूध संघ सहभागी आहेत 
4538, संपूर्ण जगाला आपले घर मानून विश्वव्यापी विचार वारकरी संप्रदायाने दिला 
4539, भारतीय राजकारणातील ऋषीतुल्य व्यक्तीमत्त्व ग्रामोदय ते राष्ट्रोदय संकल्पनेचे प्रवर्तक अधुनिक युगातील दधिची आणि आमचे प्रेरणास्थान पद्मविभूषण श्री नानाजी देशमुख यांच्या जयंतीनिमित्त त्रिवार वंदन 
4540, मालेगांव धारावीचे उदाहरण आपल्यासमोर आहे जे सहकार्य तिथल्या लोकांनी केले तसेच सहकार्य औरंगाबाद शहरातील जनताही करेल आणि संकटावर मात करेल अशी खात्री वाटते 
4541, अरे संसार संसार जसा तवा चुल्ह्यावर आधी हाताला चटके मग मिळते भाकर जीवन कसं जगावे ह्याचे शिकवण देणाऱ्या महाराष्ट्राची शान व खानदेशाचा मान असलेल्या कवयित्री बहीणाबाई चौधरी यांना स्मृती दिनानिमित्त अभिवादन 
4542, दुष्काळात आर्थिकदृष्ट्या संकटात सापडलेल्या शेतकर्यांना परळीत आल्यानंतर अल्पदरात जेवण मिळवून त्यांना आधार देण्याच्या उद्देशाने नाथ प्रतिष्ठानाने उपक्रम सुरू केला आहे जेवणासाठी येणार्या खर्चापैकी शेतकर्यांकडून फक्त रूपये घेतले जाणार तर उर्वरित खर्च नाथ प्रतिष्ठान करणार आहे 
4543, निरोगी आरोग्य सशक्त महाराष्ट्र 
4544, दौंड येथे राष्ट्रीय वयोश्री योजनेअंतर्गत दिव्यांग व ज्येष्ठ नागरिकांसाठी जीवन सहाय्यक वैद्यकीय उपकरणांचे मोफत वितरण करण्यात येत आहे मागील काही वर्षांपासून हा उपक्रम खा सुप्रिया सुळे आपल्या मतदारसंघात राबवत आहेत बारामती भोर वेल्हा अशा अनेक ठिकाणी हे कार्यक्रम घेण्यात आले आहेत 
4545, कोरोनाच्या पार्श्वभूमीवर भेडसावणाऱ्या अनेक अडचणी कुशल अकुशल मनुष्यबळ रोजगार निर्मिती यासारख्या महत्त्वाच्या मुद्यावर चर्चा झाली अनेकजणांनी आपली मते मांडत सूचना केल्या त्या सुचनांचा रोजगारनिर्मिती व औद्योगिक क्षेत्रासाठी नक्कीच सकारात्मक उपयोग होऊ शकेल 
4546, मंत्रिमंडळनिर्णय पानशेत पूरग्रस्त सहकारी संस्थांना भाडेपट्ट्याने देण्यात आलेल्या जमिनी मालकीहक्काने देण्याचा निर्णय 
4547, थोर स्वातंत्र्यसैनिक स्वतंत्र भारताचे पहिले शिक्षण मंत्री भारतरत्न मौलाना अबुल कलाम आझाद यांना जयंतीदिनी विनम्र अभिवादन 
4548, क्रांतीज्योती सावित्रीबाई फुलेंना जयंती निमित्त अभिवादन आजच्या ह्या जयंती दिवसाचं औचित्य साधून चॅनेलवर येत आहे नवीन मालिका गेल्या काही वर्षांमध्ये इतिहासातील महान व्यक्तींच्या जीवनावर आधारीत मालिकांमुळे नव्या पिढीला चांगली माहिती मिळते 
4549, देशाचे पहिले गृहमंत्री लोहपुरुष सरदार वल्लभभाई पटेल यांना जयंतीनिमित्त विनम्र अभिवादन 
4550, राज्य सरकार शेतीसाठी अनेक योजना राबवून बळीराजाला सुखी ठेवण्यासाठी सर्वतोपरी मदत करत आहे शेतकऱ्यांच्या उत्पादन वाढीसाठी प्रशिक्षण कार्यशाळा मार्गदर्शनाची सोय केली असून यामुळे आगामी काळात ग्रामीण भागाचे चित्र बदलेल 
4551, आपल्या समाजाधिष्ठीत लेखनानं मराठी साहित्याला समृद्ध करणारे अग्रगण्य कवी लेखक वि वा शिरवाडकर उर्फ कुसुमाग्रज यांना पुण्यतिथीनिमित्त भावपूर्ण आदरांजली कुसुमाग्रज 
4552, भाजपा नेत्या राज्याच्या माझी कॅबिनेट मंत्री जी यांना वाढदिवसानिमित्त हार्दिक शुभेच्छा 
4553, थोर स्वातंत्र्य सेनानी केसरी कार लोकमान्य टिळक यांना स्मृतिदिनी विनम्र अभिवादन लोकमान्य टिळक 
4554, राष्ट्रवादी काँग्रेस पक्षाची मुलुखमैदानी तोफ माननीय विरोधी पक्षनेते जी यांना वाढदिवसाच्या हार्दिक शुभेच्छा 
